羅生門	Rashomon	rashomon_jp-rashomon_en
芥川龍之介	Akutagawa Ryunosuke	rashomon_jp-rashomon_en
ある日の暮方の事である。	It happened one evening.	rashomon_jp-rashomon_en
一人の下人が、羅生門の下で雨やみを待っていた。	A lowly servant was under Rashōmon Gate, waiting for the rain to stop.	rashomon_jp-rashomon_en
広い門の下には、この男のほかに誰もいない。	Under the broad gate, there was no one but him.	rashomon_jp-rashomon_en
ただ、所々丹塗の剥げた、大きな円柱に、蟋蟀が一匹とまっている。	On one of the large round pillars whose red paint was peeling off in places, there was only a solitary katydid.	rashomon_jp-rashomon_en
羅生門が、朱雀大路にある以上は、この男のほかにも、雨やみをする市女笠や揉烏帽子が、もう二三人はありそうなものである。	Because the gate was located on Suzaku Boulevard, you would normally expect to find two or three other people there, waiting for the rain to let up.	rashomon_jp-rashomon_en
それが、この男のほかには誰もいない。	But there was nobody there but him.	rashomon_jp-rashomon_en
何故かと云うと、この二三年、京都には、地震とか辻風とか火事とか饑饉とか云う災がつづいて起った。	You see, over the last two or three years there had been a series of disasters in Kyoto: earthquakes, whirlwinds, fires, and famines.	rashomon_jp-rashomon_en
そこで洛中のさびれ方は一通りではない。	The capital was falling apart in many different ways.	rashomon_jp-rashomon_en
旧記によると、仏像や仏具を打砕いて、その丹がついたり、金銀の箔がついたりした木を、路ばたにつみ重ねて、薪の料に売っていたと云う事である。	According to old records, Buddhist statues and altars had been smashed, and their vermilion-lacquered and gold- or silver-foiled wood piled up on the side of the road and sold as kindling.	rashomon_jp-rashomon_en
洛中がその始末であるから、羅生門の修理などは、元より誰も捨てて顧る者がなかった。	Needless to say, with the capital in this condition, there was no one to repair the gate, and indeed, nobody even gave it a second thought.	rashomon_jp-rashomon_en
するとその荒れ果てたのをよい事にして、狐狸が棲む。	Taking advantage of this state of neglect, foxes and badgers began to live there.	rashomon_jp-rashomon_en
盗人が棲む。	Robbers lived there.	rashomon_jp-rashomon_en
とうとうしまいには、引取り手のない死人を、この門へ持って来て、棄てて行くと云う習慣さえ出来た。	Eventually, it had even become customary to take unclaimed corpses to the gate and dump them there.	rashomon_jp-rashomon_en
そこで、日の目が見えなくなると、誰でも気味を悪るがって、この門の近所へは足ぶみをしない事になってしまったのである。	So after sunset, people got scared, and nobody dared set foot near the gate after dark.	rashomon_jp-rashomon_en
その代りまた鴉がどこからか、たくさん集って来た。	In their place, a large murder of crows had flocked there.	rashomon_jp-rashomon_en
昼間見ると、その鴉が何羽となく輪を描いて、高い鴟尾のまわりを啼きながら、飛びまわっている。	During the day, countless birds could be seen flying around in circles while cawing at the high ornamental ridge-end tiles.	rashomon_jp-rashomon_en
ことに門の上の空が、夕焼けであかくなる時には、それが胡麻をまいたようにはっきり見えた。	They looked just like scattered sesame seeds, particularly when the sky above the gate turned red at sunset.	rashomon_jp-rashomon_en
鴉は、勿論、門の上にある死人の肉を、啄みに来るのである。	The crows, of course, had come to peck at the flesh of the dead bodies on top of the gate.	rashomon_jp-rashomon_en
――もっとも今日は、刻限が遅いせいか、一羽も見えない。	Today, however, perhaps because it was late, not a single bird could be seen.	rashomon_jp-rashomon_en
ただ、所々、崩れかかった、そうしてその崩れ目に長い草のはえた石段の上に、鴉の糞が、点々と白くこびりついているのが見える。	But what you could see were their white droppings, stuck in patches to the stone steps, which were crumbling in places, with long weeds growing from the cracks.	rashomon_jp-rashomon_en
下人は七段ある石段の一番上の段に、洗いざらした紺の襖の尻を据えて、右の頬に出来た、大きな面皰を気にしながら、ぼんやり、雨のふるのを眺めていた。	The servant, wearing a navy-blue kimono that had faded from over-washing, sat down on the seventh-and-top step of the stone staircase.	rashomon_jp-rashomon_en
作者はさっき、「下人が雨やみを待っていた」と書いた。	He watched the rain fall while playing with a large pimple on his right cheek, lost in his own thoughts.	rashomon_jp-rashomon_en
しかし、下人は雨がやんでも、格別どうしようと云う当てはない。	A little while ago, I wrote, "A lowly servant was waiting for the rain to stop".	rashomon_jp-rashomon_en
ふだんなら、勿論、主人の家へ帰る可き筈である。	However, even if the rain did stop, the servant still wouldn't have anything to do.	rashomon_jp-rashomon_en
所がその主人からは、四五日前に暇を出された。	Normally, of course, he would have been expected to return to his master's house, but he had been released from the service of his master four or five days before.	rashomon_jp-rashomon_en
前にも書いたように、当時京都の町は一通りならず衰微していた。	As I wrote earlier, at this time, the city of Kyoto was deteriorating in many different ways.	rashomon_jp-rashomon_en
今この下人が、永年、使われていた主人から、暇を出されたのも、実はこの衰微の小さな余波にほかならない。	That this servant had been dismissed by his master, who had employed him for so many years, was merely another small side effect of this decline.	rashomon_jp-rashomon_en
だから「下人が雨やみを待っていた」と云うよりも「雨にふりこめられた下人が、行き所がなくて、途方にくれていた」と云う方が、適当である。	So, rather than saying, "A lowly servant was waiting for the rain to stop", it would have been more appropriate to say, "A lowly servant, trapped by the rain, had nowhere to go, and didn't know what to do".	rashomon_jp-rashomon_en
その上、今日の空模様も少からず、この平安朝の下人の Sentimentalisme に影響した。	The weather that day further served to darken the mood of this Heian-period servant.	rashomon_jp-rashomon_en
申の刻下りからふり出した雨は、いまだに上るけしきがない。	The rain had started falling at a little after 4 PM, and it still showed no signs of letting up.	rashomon_jp-rashomon_en
そこで、下人は、何をおいても差当り明日の暮しをどうにかしようとして――云わばどうにもならない事を、どうにかしようとして、とりとめもない考えをたどりながら、さっきから朱雀大路にふる雨の音を、聞くともなく聞いていたのである。	For now, foremost on the servant's mind was how he would make his living tomorrow—how he would get through this "hopeless situation". As he tried to piece together his wandering thoughts, he listened pensively to the sound of the rain falling on Suzaku Boulevard.	rashomon_jp-rashomon_en
雨は、羅生門をつつんで、遠くから、ざあっと云う音をあつめて来る。	The rain engulfed Rashōmon, and gales of rain from far away pounded down upon the gate with a tremendous noise.	rashomon_jp-rashomon_en
夕闇は次第に空を低くして、見上げると、門の屋根が、斜につき出した甍の先に、重たくうす暗い雲を支えている。	The darkness of night gradually set in from above, and if you were to look up, it might seem as if the large, gloomy clouds were suspended from the ends of the tiles that jutted out from the roof of the gate.	rashomon_jp-rashomon_en
どうにもならない事を、どうにかするためには、手段を選んでいる遑はない。	In order to somehow get through his "hopeless situation", the servant might have to set his morals aside.	rashomon_jp-rashomon_en
選んでいれば、築土の下か、道ばたの土の上で、饑死をするばかりである。	If he refused to do things that he thought were morally questionable, then he would only end up starving to death under a roofed mud wall or on the side of the road.	rashomon_jp-rashomon_en
そうして、この門の上へ持って来て、犬のように棄てられてしまうばかりである。	And then he would be taken to this gate, to be discarded, like a dog.	rashomon_jp-rashomon_en
選ばないとすれば――下人の考えは、何度も同じ道を低徊した揚句に、やっとこの局所へ逢着した。	 "If I am willing to do whatever it takes to survive…" His thoughts had circled through his head a number of times, and they had finally arrived here.	rashomon_jp-rashomon_en
しかしこの「すれば」は、いつまでたっても、結局「すれば」であった。	But this "if" would always remain a mere hypothetical.	rashomon_jp-rashomon_en
下人は、手段を選ばないという事を肯定しながらも、この「すれば」のかたをつけるために、当然、その後に来る可き「盗人になるよりほかに仕方がない」と云う事を、積極的に肯定するだけの、勇気が出ずにいたのである。	For although the servant acknowledged that he had to do whatever he could to get by, he didn't have the courage to bring the sentence to its foregone conclusion: "I am bound to become a thief."	rashomon_jp-rashomon_en
下人は、大きな嚔をして、それから、大儀そうに立上った。	The servant sneezed, and he stood up wearily.	rashomon_jp-rashomon_en
夕冷えのする京都は、もう火桶が欲しいほどの寒さである。	Kyoto—so chilly in the evening—was already cold enough that he wished he had a brazier.	rashomon_jp-rashomon_en
風は門の柱と柱との間を、夕闇と共に遠慮なく、吹きぬける。	The wind and the darkness blew mercilessly between the pillars of the gate.	rashomon_jp-rashomon_en
丹塗の柱にとまっていた蟋蟀も、もうどこかへ行ってしまった。	The katydid that had been sitting on the red pillar was long gone.	rashomon_jp-rashomon_en
下人は、頸をちぢめながら、山吹の汗袗に重ねた、紺の襖の肩を高くして門のまわりを見まわした。	The servant tucked his head into his chest, hunched up his shoulders—clad in the blue kimono he wore over his thin yellow underclothes—and looked around the gate.	rashomon_jp-rashomon_en
雨風の患のない、人目にかかる惧のない、一晩楽にねられそうな所があれば、そこでともかくも、夜を明かそうと思ったからである。	 "If there is a place where I won't be bothered by the wind or the rain… a place where I won't be seen… a place where it looks like I can sleep comfortably all night… then I will spend the night there", he thought.	rashomon_jp-rashomon_en
すると、幸い門の上の楼へ上る、幅の広い、これも丹を塗った梯子が眼についた。	Luckily, just then, he spotted the wide, red staircase that led to the tower atop the gate.	rashomon_jp-rashomon_en
